id	scene_id	person	gender	original_line	line	metadata	filename
30901	16	JOEY	M	Joey: ...Are we still talking about sex?	...Are we still talking about sex?	..._... Are_VBR we_PPIS2 still_RR talking_VVG about_II sex_NN1 ?_?	0102.txt
31001	17	ROSS	M	Ross: No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?	No, it's good, it is good, it's just that mm- doesn't she seem a little angry?	No_UH it_PPH1 's_VBZ good_JJ it_PPH1 is_VBZ good_JJ it_PPH1 's_VBZ just_RR that_DD1 mm-_NN1 does_VDZ n't_XX she_PPHS1 seem_VVI a_RR21 little_RR22 angry_JJ ?_?	0102.txt
31101	17	MARSHA	U	Marsha: Well, she has issues.	Well, she has issues.	Well_RR she_PPHS1 has_VHZ issues_NN2 ._.	0102.txt
31201	17	ROSS	M	Ross: Does she.	Does she.	Does_VDZ she_PPHS1 ._.	0102.txt
31301	17	MARSHA	U	Marsha: He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!	He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!	He_PPHS1 's_VBZ out_RP banging_VVG other_JJ women_NN2 over_II the_AT head_NN1 with_IW a_AT1 club_NN1 while_CS she_PPHS1 sits_VVZ at_II home_NN1 trying_VVG to_TO get_VVI the_AT mastodon_NN1 smell_NN1 out_II21 of_II22 the_AT carpet_NN1 !_!	0102.txt
31401	17	ROSS	M	Ross: Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?	Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?	Marsha_NP1 these_DD2 are_VBR cave_NN1 people_NN ._. Okay_RR ?_? They_PPHS2 have_VH0 issues_NN2 like_II 'Gee_NN1 that_DD1 glacier_NN1 's_VBZ getting_VVG kinda_RR close_VV0 ._. '_ See_VV0 ?_?	0102.txt
31501	17	MARSHA	U	Marsha: Speaking of issues, isn't that your ex-wife?	Speaking of issues, isn't that your ex-wife?	Speaking_NN1 of_IO issues_NN2 is_VBZ n't_XX that_DD1 your_APPGE ex-wife_NN1 ?_?	0102.txt
31601	17	ROSS	M	Ross: No. No.	No. No.	No_UH ._. No._NN1	0102.txt
31701	17	MARSHA	U	Marsha: Yes, it is. Carol! Hi!	Yes, it is. Carol! Hi!	Yes_UH it_PPH1 is_VBZ ._. Carol_NP1 !_! Hi_UH !_!	0102.txt
31801	17	ROSS	M	Ross: Okay, okay, yes, it is.  How about I'll, uh, catch up with you in the Ice Age.	Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.	Okay_RR okay_RR yes_UH it_PPH1 is_VBZ ._. How_RRQ about_II I_PPIS1 'll_VM uh_UH catch_VV0 up_RP with_IW you_PPY in_II the_AT Ice_NN1 Age_NN1 ._.	0102.txt
31901	17	ROSS	M	Ross:Hi.	Hi.	Hi_UH ._.	0102.txt
32001	17	CAROL	F	Carol: So.	So.	So_RR ._.	0102.txt
32101	17	ROSS	M	Ross: You look great. I, uh... I hate that.	You look great. I, uh... I hate that.	You_PPY look_VV0 great_JJ ._. I_PPIS1 uh_UH ..._... I_PPIS1 hate_VV0 that_DD1 ._.	0102.txt
32201	17	CAROL	F	Carol: Sorry. You look good too.	Sorry. You look good too.	Sorry_JJ ._. You_PPY look_VV0 good_JJ too_RR ._.	0102.txt
32301	17	ROSS	M	Ross: Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...	Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...	Ah_UH well_RR in_II here_RL anyone_PN1 who_PNQS ..._... stands_NN2 erect_VV0 ..._... So_RR what_DDQ 's_VBZ new_JJ ?_? Still_RR uh_UH ..._...	0102.txt
32401	17	CAROL	F	Carol: A lesbian?	A lesbian?	A_ZZ1 lesbian_JJ ?_?	0102.txt
32501	17	ROSS	M	Ross: Well... you never know. How's, um.. how's the family?	Well... you never know. How's, um.. how's the family?	Well_RR ..._... you_PPY never_RR know_VV0 ._. How_RRQ 's_VBZ um_UH .._... how_RRQ 's_VBZ the_AT family_NN1 ?_?	0102.txt
32601	17	CAROL	F	Carol: Marty's still totally paranoid. Oh, and, uh-	Marty's still totally paranoid. Oh, and, uh	Marty_NN1 's_VBZ still_RR totally_RR paranoid_JJ ._. Oh_UH and_CC uh_UH	0102.txt
32701	17	ROSS	M	Ross: Why- why are you here, Carol?	Why- why are you here, Carol?	Why-_NN1 why_RRQ are_VBR you_PPY here_RL Carol_NP1 ?_?	0102.txt
32801	17	CAROL	F	Carol: I'm pregnant.	I'm pregnant.	I_PPIS1 'm_VBM pregnant_JJ ._.	0102.txt
32901	17	ROSS	M	Ross: Pregnant?!	Pregnant?!	Pregnant_JJ ?_? !_!	0102.txt
33001	18	CHANDLER	M	Chandler: Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.	Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.	Oh_UH I_PPIS1 think_VV0 this_DD1 is_VBZ the_AT episode_NN1 of_IO Three_MC 's_GE Company_NN1 where_CS there_EX 's_VBZ some_DD kind_NN1 of_IO misunderstanding_NN1 ._.	0102.txt
33101	18	PHOEBE	F	Phoebe:...Then I've already seen this one! 	...Then I've already seen this one!	..._... Then_RT I_PPIS1 've_VH0 already_RR seen_VVN this_DD1 one_PN1 !_!	0102.txt
33201	18	MONICA	F	Monica: Are you through with that?	Are you through with that?	Are_VBR you_PPY through_RP with_IW that_DD1 ?_?	0102.txt
33301	18	JOEY	M	Joey: Yeah, sorry, the swallowing slowed me down.	Yeah, sorry, the swallowing slowed me down.	Yeah_UH sorry_JJ the_AT swallowing_NN1 slowed_VVD me_PPIO1 down_RP ._.	0102.txt
33401	18	MONICA	F	Monica: Whose little ball of paper is this?!	Whose little ball of paper is this?!	Whose_DDQGE little_JJ ball_NN1 of_IO paper_NN1 is_VBZ this_DD1 ?_? !_!	0102.txt
33501	18	CHANDLER	M	Chandler: Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead.	Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...now I wish I was dead.	Oh_UH uh_UH that_DD1 would_VM be_VBI mine_PPGE ._. See_VV0 I_PPIS1 wrote_VVD a_AT1 note_NN1 to_II myself_PPX1 and_CC then_RT I_PPIS1 realised_VVD I_PPIS1 did_VDD n't_XX need_VVI it_PPH1 so_CS I_PPIS1 balled_VVD it_PPH1 up_RP and_CC ..._... now_RT I_PPIS1 wish_VV0 I_PPIS1 was_VBDZ dead_JJ ._.	0102.txt
33601	18	PHOEBE	F	Phoebe: She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!	She's already fluffed that pillow... Monica, you know, you've already fluffed that -but, it's fine!	She_PPHS1 's_VBZ already_RR fluffed_VVN that_DD1 pillow_NN1 ..._... Monica_NP1 you_PPY know_VV0 you_PPY 've_VH0 already_RR fluffed_VVN that_DD1 -but_CCB it_PPH1 's_VBZ fine_JJ !_!	0102.txt
33701	18	MONICA	F	Monica: Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.	Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.	Look_NN1 I_PPIS1 'm_VBM sorry_JJ guys_NN2 I_PPIS1 just_RR do_VD0 n't_XX wan_VVI na_TO give_VVI them_PPHO2 any_DD more_DAR ammunition_NN1 than_CSN they_PPHS2 already_RR have_VH0 ._.	0102.txt
33801	18	CHANDLER	M	Chandler: Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.	Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.	Yes_UH and_CC we_PPIS2 all_DB know_VV0 how_RGQ cruel_JJ a_AT1 parent_NN1 can_VM be_VBI about_II the_AT flatness_NN1 of_IO a_AT1 child_NN1 's_GE pillow_NN1 ._.	0102.txt
33901	18	PHOEBE	F	Phoebe: Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.	Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.	Monica-_NN1 Hi_UH !_! Um_UH Monica_NP1 you_PPY 're_VBR scaring_VVG me_PPIO1 ._. I_PPIS1 mean_VV0 you_PPY 're_VBR like_II you_PPY 're_VBR like_II all_DB chaotic_JJ and_CC twirly_RR ._. And_CC not-not_XX in_II a_AT1 good_JJ way_NN1 ._.	0102.txt
34001	18	JOEY	M	Joey: Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.	Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.	Yeah_UH calm_VV0 down_RP ._. You_PPY do_VD0 n't_XX see_VVI Ross_NP1 getting_VVG all_DB chaotic_JJ and_CC twirly_RR every_AT1 time_NNT1 they_PPHS2 come_VV0 ._.	0102.txt
34101	18	MONICA	F	Monica: That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.	That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.	That_DD1 's_VBZ because_CS as_CS31 far_CS32 as_CS33 my_APPGE parents_NN2 are_VBR concerned_JJ Ross_NP1 can_VM do_VDI no_AT wrong_JJ ._. Y'see_NN1 he_PPHS1 's_VBZ the_AT Prince_NN1 ._. Apparently_RR they_PPHS2 had_VHD some_DD big_JJ ceremony_NN1 before_CS I_PPIS1 was_VBDZ born_VVN ._.	0102.txt
34201	18	CHANDLER	M	Chandler: Ew, ew, ew, ew ew ew ew ew!	Ew, ew, ew, ew ew ew ew ew!	Ew_NP1 ew_VV0 ew_VV0 ew_VV0 ew_NN1 ew_NN1 ew_NN1 ew_NN1 !_!	0102.txt
34301	18	MONICA	F	Monica: What?	What?	What_DDQ ?_?	0102.txt
34401	18	CHANDLER	M	Chandler: Ugly Naked Guy got a Thighmaster!	Ugly Naked Guy got a Thighmaster!	Ugly_JJ Naked_JJ Guy_NP1 got_VVD a_AT1 Thighmaster_NN1 !_!	0102.txt
34501	18	ALL	U	All: Eeaagh!	Eeaagh!	Eeaagh_VV0 !_!	0102.txt
34601	18	RACHEL	F	Rachel: Has anybody seen my engagement ring?	Has anybody seen my engagement ring?	Has_VHZ anybody_PN1 seen_VVN my_APPGE engagement_NN1 ring_NN1 ?_?	0102.txt
34701	18	PHOEBE	F	Phoebe: Yeah, it's beautiful.	Yeah, it's beautiful.	Yeah_UH it_PPH1 's_VBZ beautiful_JJ ._.	0102.txt
34801	18	RACHEL	F	Rachel: Oh God, oh God, oh God oh God oh God oh God... 	Oh God, oh God, oh God oh God oh God oh God...	Oh_UH God_NP1 oh_UH God_NP1 oh_UH God_NN1 oh_UH God_NN1 oh_UH God_NN1 oh_UH God_NP1 ..._...	0102.txt
34901	18	PHOEBE	F	Phoebe: No, look, don't touch that!	No, look, don't touch that!	No_UH look_VV0 do_VD0 n't_XX touch_VVI that_DD1 !_!	0102.txt
35001	18	RACHEL	F	Rachel: Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...	Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...	Oh_UH like_CS I_PPIS1 was_VBDZ n't_XX dreading_VVG tomorrow_RT enough_RR having_VHG to_TO give_VVI it_PPH1 back_RP to_II him_PPHO1 ..._... 'Hi_NN2 Barry_NP1 !_! Remember_VV0 me_PPIO1 ?_? I_PPIS1 'm_VBM the_AT girl_NN1 in_II the_AT veil_NN1 who_PNQS stomped_VVD on_II your_APPGE heart_NN1 in_II31 front_II32 of_II33 your_APPGE entire_JJ family_NN1 !_! '_ Oh_UH God_NP1 and_CC now_RT I_PPIS1 'm_VBM gon_VVGK na_TO have_VHI to_TO return_VVI the_AT ring_NN1 without_IW the_AT ring_NN1 which_DDQ makes_VVZ it_PPH1 so_RG much_DA1 harder_JJR ..._...	0102.txt
35101	18	MONICA	F	Monica: Easy Rach, we'll find it.  Won't we!	Easy Rach, we'll find it. Won't we!	Easy_JJ Rach_NP1 we_PPIS2 'll_VM find_VVI it_PPH1 ._. Wo_VM n't_XX we_PPIS2 !_!	0102.txt
35201	18	CHANDLER AND JOEY	M	Chandler and Joey: Oh! Yeah!	Oh! Yeah!	Oh_UH !_! Yeah_UH !_!	0102.txt
35301	18	JOEY	M	Joey: Alright, when'd'ya have it on last?	Alright, when'd'ya have it on last?	Alright_RR when'd'ya_NN1 have_VH0 it_PPH1 on_II last_MD ?_?	0102.txt
35401	18	PHOEBE	F	Phoebe: Doy! Probably right before she lost it!	Doy! Probably right before she lost it!	Doy_NN1 !_! Probably_RR right_RR before_CS she_PPHS1 lost_VVD it_PPH1 !_!	0102.txt
35501	18	CHANDLER	M	Chandler: You don't get a lot of 'doy' these days...	You don't get a lot of 'doy' these days...	You_PPY do_VD0 n't_XX get_VVI a_AT1 lot_NN1 of_IO 'doy'_NN1 these_DD2 days_NNT2 ..._...	0102.txt
35601	18	RACHEL	F	Rachel: I know I had it this morning, and I know I had it when I was in the kitchen with...	I know I had it this morning, and I know I had it when I was in the kitchen with...	I_ZZ1 know_VV0 I_PPIS1 had_VHD it_PPH1 this_DD1 morning_NNT1 and_CC I_PPIS1 know_VV0 I_PPIS1 had_VHD it_PPH1 when_CS I_PPIS1 was_VBDZ in_II the_AT kitchen_NN1 with_IW ..._...	0102.txt
35701	18	CHANDLER	M	Chandler: ...Dinah?	...Dinah?	..._... Dinah_UH ?_?	0102.txt
35801	18	RACHEL	F	Rachel: Ohhhhh, don't be mad...	Ohhhh, don't be mad...	Ohhhh_NP1 do_VD0 n't_XX be_VBI mad_JJ ..._...	0102.txt
35901	18	MONICA	F	Monica: You didn't.	You didn't.	You_PPY didn't._NNU	0102.txt
36001	18	RACHEL	F	Rachel: Oh, I am sorry...	Oh, I am sorry...	Oh_UH I_PPIS1 am_VBM sorry_JJ ..._...	0102.txt
36101	18	MONICA	F	Monica: I gave you one job! 	I gave you one job!	I_ZZ1 gave_VVD you_PPY one_MC1 job_NN1 !_!	0102.txt
36201	18	RACHEL	F	Rachel: Oh, but look how straight those noodles are!	Oh, but look how straight those noodles are!	Oh_UH but_CCB look_VV0 how_RGQ straight_RR those_DD2 noodles_NN2 are_VBR !_!	0102.txt
36301	18	CHANDLER	M	Chandler: Now, Monica, you know that's not how you look for an engagement ring in a lasagne...	Now, Monica, you know that's not how you look for an engagement ring in a lasagne...	Now_RT Monica_NP1 you_PPY know_VV0 that_DD1 's_VBZ not_XX how_RRQ you_PPY look_VV0 for_IF an_AT1 engagement_NN1 ring_NN1 in_II a_AT1 lasagne_NN1 ..._...	0102.txt
36401	18	MONICA	F	Monica: I just... can't do it.	I just... can't do it.	I_ZZ1 just_RR ..._... ca_VM n't_XX do_VDI it_PPH1 ._.	0102.txt
36501	18	CHANDLER	M	Chandler: Boys? We're going in.	Boys? We're going in.	Boys_NN2 ?_? We_PPIS2 're_VBR going_VVG in._II	0102.txt
36601	18	ROSS	M	Ross: ...Hi.	...Hi.	..._... Hi_UH ._.	0102.txt
36701	18	MONICA	F	Monica: Wow. That is not a happy hi.	Wow. That is not a happy hi.	Wow_UH ._. That_DD1 is_VBZ not_XX a_AT1 happy_JJ hi_JJ ._.	0102.txt
36801	18	ROSS	M	Ross: Carol's pregnant.	Carol's pregnant.	Carol_NP1 's_VBZ pregnant_JJ ._.	0102.txt
36901	18	PHOEBE	F	Phoebe: Ooh! I found it!	Ooh! I found it!	Ooh_UH !_! I_PPIS1 found_VVD it_PPH1 !_!	0102.txt
37001	18	MONICA	F	Monica: W-w-wh-... wha-... w-w-w-...	W-w-wh-... wha-... w-w-w-...	W-w-wh-_NP1 ..._... wha-_JJ ..._... w-w-w-_JJ ..._...	0102.txt
37101	18	ROSS	M	Ross: Yeah. Do that for another two hours, you might be where I am right about now. 	Yeah. Do that for another two hours, you might be where I am right about now.	Yeah_UH ._. Do_VD0 that_DD1 for_IF another_DD1 two_MC hours_NNT2 you_PPY might_VM be_VBI where_CS I_PPIS1 am_VBM right_JJ about_II now_RT ._.	0102.txt
37201	18	CHANDLER	M	Chandler: Kinda puts that whole pillow thing in perspective, huh, Mon?	Kinda puts that whole pillow thing in perspective, huh, Mon?	Kinda_RR puts_VVZ that_DD1 whole_JJ pillow_NN1 thing_NN1 in_II perspective_NN1 huh_UH Mon_NPD1 ?_?	0102.txt
37301	18	RACHEL	F	Rachel: Well now, how-how do you fit into this whole thing?	Well now, how do you fit into this whole thing?	Well_RR now_RT how_RRQ do_VD0 you_PPY fit_VVI into_II this_DD1 whole_JJ thing_NN1 ?_?	0102.txt
37401	18	ROSS	M	Ross: Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.	Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.	Well_RR Carol_NP1 says_VVZ she_PPHS1 and_CC Susan_NP1 want_VV0 me_PPIO1 to_TO be_VBI involved_VVN but_CCB if_CS I_PPIS1 'm_VBM not_XX comfortable_JJ with_IW it_PPH1 I_PPIS1 do_VD0 n't_XX have_VHI to_TO be_VBI involved_VVN .._... basically_RR it_PPH1 's_VBZ entirely_RR up_RG21 to_RG22 me._NNU	0102.txt
37501	18	PHOEBE	F	Phoebe: She is so great! I miss her.	She is so great! I miss her.	She_PPHS1 is_VBZ so_RG great_JJ !_! I_PPIS1 miss_VV0 her_PPHO1 ._.	0102.txt
37601	18	MONICA	F	Monica: What does she mean by 'involved'?	What does she mean by 'involved'?	What_DDQ does_VDZ she_PPHS1 mean_VVI by_II 'involved'_NN1 ?_?	0102.txt
37701	18	CHANDLER	M	Chandler: I mean presumably, the biggest part of your job is done.	I mean presumably, the biggest part of your job is done.	I_ZZ1 mean_VV0 presumably_RR the_AT biggest_JJT part_NN1 of_IO your_APPGE job_NN1 is_VBZ done_VDN ._.	0102.txt
37801	18	ROSS	M	Ross: Anyway, they want me to go down to this- sonogram thing with them tomorrow.	Anyway, they want me to go down to this sonogram thing with them tomorrow.	Anyway_RR they_PPHS2 want_VV0 me_PPIO1 to_TO go_VVI down_RP to_II this-_JJ sonogram_NN1 thing_NN1 with_IW them_PPHO2 tomorrow_RT ._.	0102.txt
37901	18	RACHEL	F	Rachel: So what are you gonna do?	So what are you gonna do?	So_RR what_DDQ are_VBR you_PPY gon_VVGK na_TO do_VDI ?_?	0102.txt
38001	18	ROSS	M	Ross: I have no idea. No matter what I do, though, I'm still gonna be a father.	I have no idea. No matter what I do, though, I'm still gonna be a father.	I_ZZ1 have_VH0 no_AT idea_NN1 ._. No_DDQV31 matter_DDQV32 what_DDQV33 I_PPIS1 do_VD0 though_CS I_PPIS1 'm_VBM still_RR gon_VVGK na_TO be_VBI a_AT1 father_NN1 ._.	0102.txt
38101	18	JOEY	M	Joey: ...Well, this is still ruined, right?	...Well, this is still ruined, right?	..._... Well_RR this_DD1 is_VBZ still_RR ruined_VVN right_RR ?_?	0102.txt
38201	19	MRS. GELLER	F	Mrs. Geller: Oh, Martha Ludwin's daughter is gonna call you.  Mmm! What's that curry taste?	Oh, Martha Ludwin's daughter is gonna call you. Mmm! What's that curry taste?	Oh_UH Martha_NP1 Ludwin_NP1 's_GE daughter_NN1 is_VBZ gon_VVGK na_TO call_VVI you_PPY ._. Mmm_UH !_! What_DDQ 's_VBZ that_DD1 curry_NN1 taste_NN1 ?_?	0102.txt
38301	19	MONICA	F	Monica: Curry.	Curry.	Curry_NN1 ._.	0102.txt
38401	19	MRS. GELLER	F	Mrs. Geller: mmm!	mmm!	mmm_UH !_!	0102.txt
38501	19	ROSS	M	Ross: I think they're great! I, I really do.	I think they're great! I, I really do.	I_ZZ1 think_VV0 they_PPHS2 're_VBR great_JJ !_! I_PPIS1 I_PPIS1 really_RR do_VD0 ._.	0102.txt
38601	19	MR. GELLER	M	Mr. Geller: Do you remember the Ludwins? The big one had a thing for you, didn't she?	Do you remember the Ludwins? The big one had a thing for you, didn't she?	Do_VD0 you_PPY remember_VVI the_AT Ludwins_NN2 ?_? The_AT big_JJ one_PN1 had_VHD a_AT1 thing_NN1 for_IF you_PPY did_VDD n't_XX she_PPHS1 ?_?	0102.txt
38701	19	MRS. GELLER	F	Mrs. Geller: They all had a thing for him.	They all had a thing for him.	They_PPHS2 all_DB had_VHD a_AT1 thing_NN1 for_IF him_PPHO1 ._.	0102.txt
38801	19	ROSS	M	Ross: Aw, Mom...	Aw, Mom...	Aw_UH Mom_NN1 ..._...	0102.txt
38901	19	MONICA	F	Monica: I'm sorry, why is this girl going to call me?	I'm sorry, why is this girl going to call me?	I_PPIS1 'm_VBM sorry_JJ why_RRQ is_VBZ this_DD1 girl_NN1 going_VVGK to_TO call_VVI me_PPIO1 ?_?	0102.txt
39001	19	MRS. GELLER	F	Mrs. Geller: Oh, she just graduated, and she wants to be something in cooking, or food, or... I don't know. Anyway, I told her you had a restaurant-	Oh, she just graduated, and she wants to be something in cooking, or food, or... I don't know. Anyway, I told her you had a restaurant	Oh_UH she_PPHS1 just_RR graduated_VVN and_CC she_PPHS1 wants_VVZ to_TO be_VBI something_PN1 in_II cooking_NN1 or_CC food_NN1 or_CC ..._... I_PPIS1 do_VD0 n't_XX know_VVI ._. Anyway_RR I_PPIS1 told_VVD her_PPHO1 you_PPY had_VHD a_AT1 restaurant_NN1	0102.txt
39101	19	MONICA	F	Monica: No Mom, I don't have a restaurant, I work in a restaurant.	No Mom, I don't have a restaurant, I work in a restaurant.	No_AT Mom_NN1 I_PPIS1 do_VD0 n't_XX have_VHI a_AT1 restaurant_NN1 I_PPIS1 work_VV0 in_II a_AT1 restaurant_NN1 ._.	0102.txt
39201	19	MRS. GELLER	F	Mrs. Geller: Well, they don't have to know that... 	Well, they don't have to know that...	Well_RR they_PPHS2 do_VD0 n't_XX have_VHI to_TO know_VVI that_DD1 ..._...	0102.txt
39301	19	MONICA	F	Monica: Ross, could you come and help me with the spaghetti, please?	Ross, could you come and help me with the spaghetti, please?	Ross_NP1 could_VM you_PPY come_VVI and_CC help_VVI me_PPIO1 with_IW the_AT spaghetti_NN1 please_RR ?_?	0102.txt
39401	19	ROSS	M	Ross: Yeah. 	Yeah.	Yeah_UH ._.	0102.txt
39501	19	MRS. GELLER	F	Mrs. Geller: Oh, we're having spaghetti! That's... easy.	Oh, we're having spaghetti! That's... easy.	Oh_UH we_PPIS2 're_VBR having_VHG spaghetti_NN1 !_! That_DD1 's_VBZ ..._... easy_JJ ._.	0102.txt
39601	19	MONICA	F	Monica: I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.	I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.	I_ZZ1 know_VV0 this_DD1 is_VBZ going_VVGK to_TO sound_VVI unbelievably_RR selfish_JJ but_CCB were_VBDR you_PPY planning_VVG on_II bringing_VVG up_RP the_AT whole_JJ baby/lesbian_NN1 thing_NN1 ?_? Because_CS I_PPIS1 think_VV0 it_PPH1 might_VM take_VVI some_DD of_IO the_AT heat_NN1 off_II me._NNU	0102.txt
39701	19	MRS. GELLER	F	Mrs. Geller: What that Rachel did to her life... We ran into her parents at the club, they were not playing very well.	What that Rachel did to her life... We ran into her parents at the club, they were not playing very well.	What_DDQ that_DD1 Rachel_NP1 did_VDD to_II her_APPGE life_NN1 ..._... We_PPIS2 ran_VVD into_II her_APPGE parents_NN2 at_II the_AT club_NN1 they_PPHS2 were_VBDR not_XX playing_VVG very_RG well_RR ._.	0102.txt
39801	19	MR. GELLER	M	Mr. Geller: I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!	I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!	I_PPIS1 'm_VBM not_XX gon_VVGK na_TO tell_VVI you_PPY what_DDQ they_PPHS2 spent_VVD on_II that_DD1 wedding_NN1 ..._... but_CCB forty_MC thousand_NNO dollars_NNU2 is_VBZ a_AT1 lot_NN1 of_IO money_NN1 !_!	0102.txt
39901	19	MRS. GELLER	F	Mrs. Geller: Well, at least she had the chance to leave a man at the altar...	Well, at least she had the chance to leave a man at the altar...	Well_RR at_RR21 least_RR22 she_PPHS1 had_VHD the_AT chance_NN1 to_TO leave_VVI a_AT1 man_NN1 at_II the_AT altar_NN1 ..._...	0102.txt
40001	19	MONICA	F	Monica: What's that supposed to mean?	What's that supposed to mean?	What_DDQ 's_VBZ that_DD1 supposed_JJ to_TO mean_VVI ?_?	0102.txt
40101	19	MRS. GELLER	F	Mrs. Geller: Nothing! It's an expression.	Nothing! It's an expression.	Nothing_PN1 !_! It_PPH1 's_VBZ an_AT1 expression_NN1 ._.	0102.txt
40201	19	MONICA	F	Monica: No it's not.	No it's not.	No_AT it_PPH1 's_VBZ not_XX ._.	0102.txt
40301	19	MR. GELLER	M	Mr. Geller: Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...	Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...	Do_VD0 n't_XX listen_VVI to_II your_APPGE mother_NN1 ._. You_PPY 're_VBR independent_JJ and_CC you_PPY always_RR have_VH0 been_VBN !_! Even_CS21 when_CS22 you_PPY were_VBDR a_AT1 kid_NN1 ..._... and_CC you_PPY were_VBDR chubby_JJ and_CC you_PPY had_VHD no_AT friends_NN2 you_PPY were_VBDR just_RR fine_JJ !_! And_CC you_PPY would_VM read_VVI alone_RR in_II your_APPGE room_NN1 and_CC your_APPGE puzzles_NN2 ..._...	0102.txt
40401	19	MR. GELLER	M	Mr. Geller: Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer.	Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are I'm telling you, these are the people who never get cancer.	Look_NN1 there_EX are_VBR people_NN like_II Ross_NP1 who_PNQS need_VV0 to_TO shoot_VVI for_IF the_AT stars_NN2 with_IW his_APPGE museum_NN1 and_CC his_APPGE papers_NN2 getting_VVG published_VVN ._. Other_JJ people_NN are_VBR satisfied_VVN with_IW staying_VVG where_RRQ they_PPHS2 are-_JJ I_PPIS1 'm_VBM telling_VVG you_PPY these_DD2 are_VBR the_AT people_NN who_PNQS never_RR get_VV0 cancer_NN1 ._.	0102.txt
40501	19	MR. GELLER	M	Mr. Geller: ...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.	...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.	..._... And_CC I_PPIS1 read_VV0 about_II these_DD2 women_NN2 trying_VVG to_TO have_VHI it_PPH1 all_DB and_CC I_PPIS1 thank_VV0 God_NP1 'Our_NNT1 Little_NP1 Harmonica'_NP1 does_VDZ n't_XX seem_VVI to_TO have_VHI that_DD1 problem_NN1 ._.	0102.txt
40601	19	MONICA	F	Monica: So, Ross, what's going on with you? Any stories? (Digs her elbow into his hand.) No news, no little anecdotes to share with the folks?	So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks?	So_RR Ross_NP1 what_DDQ 's_VBZ going_VVG on_RP with_IW you_PPY ?_? Any_DD stories_NN2 ?_? No_AT news_NN1 no_AT little_JJ anecdotes_NN2 to_TO share_VVI with_IW the_AT folks_NN2 ?_?	0102.txt
